No,Index,nCsp2,SpMax_EA(ri),SpMax_AEA(dm),SM11_EA,Eig03_EA,B03[C-N],S1K,piPC05,piPC07,AAC,SIC4,SpDiam_B(e),SpMax1_Bh(i),Mor31v,TE1,logTg,Series
698,NS_073,2,2.842,3.546,11.848,1.678,1,10.096,4.5,4.533,0.735,0.962,5.276,3.674,0.027,-999.0,2.4265,T
699,NS_079,4,3.641,3.906,14.505,2.715,0,18.617,5.62,5.984,0.871,0.875,5.514,3.757,-0.378,-999.0,2.4362,T
700,NS_100,4,3.02,3.578,12.294,2.293,0,11.61,5.187,5.398,0.31,0.813,5.386,3.673,0.071,-999.0,2.4928,T
701,NS_122,3,3.018,3.599,12.423,2.192,1,12.457,5.176,5.501,0.591,0.975,5.375,3.681,-0.059,-999.0,2.5119,T
702,NS_126,2,2.425,3.713,10.678,1.167,0,8.688,1.946,1.099,1.157,1.0,4.676,3.399,0.304,5.052,2.5185,T
704,NS_138,2,2.424,3.713,10.677,1.0,0,7.909,1.792,0.0,1.224,0.889,4.675,3.399,0.198,4.483,2.5366,T
705,NS_140,1,2.303,3.418,9.153,0.0,0,4.792,0.0,0.0,0.65,0.333,4.461,3.35,0.14,2.009,2.5378,T
708,NS_165,5,3.003,3.825,12.63,2.039,0,8.524,4.595,3.807,0.918,1.0,5.589,3.854,0.111,3.267,2.5599,T
709,NS_166,3,2.686,3.767,11.105,2.037,1,12.382,4.5,4.407,0.986,1.0,5.197,3.641,0.24,8.457,2.5599,T
710,NS_169,2,2.422,3.712,10.671,0.724,0,7.13,1.099,0.0,1.299,0.75,4.672,3.398,0.157,3.982,2.5635,T
711,NS_170,5,2.848,3.829,11.853,2.377,0,12.748,4.762,4.949,0.722,0.954,5.34,3.71,0.378,9.913,2.5658,T
712,NS_192,6,2.672,3.772,11.757,2.415,1,18.263,5.124,5.094,1.049,0.969,5.235,3.652,0.166,15.188,2.5843,T
713,NS_196,3,2.505,3.783,11.215,1.487,0,8.434,3.045,2.565,1.041,0.907,4.756,3.446,0.387,5.772,2.5877,T
714,NS_197,3,2.65,3.713,11.022,2.131,1,15.486,4.564,4.382,0.866,1.0,5.188,3.637,0.507,9.283,2.5888,T
715,NS_198,3,2.37,5.263,11.178,2.0,0,10.428,4.875,4.691,0.868,0.781,5.172,3.765,0.095,3.643,2.5888,T
716,NS_201,1,2.499,3.464,9.976,1.0,0,5.206,3.932,2.565,0.544,1.0,5.034,3.688,0.037,-999.0,2.5911,T
717,NS_203,6,3.612,4.332,14.195,2.508,0,14.55,5.451,5.79,0.575,1.0,5.637,3.853,-0.178,9.582,2.5933,T
718,NS_206,1,2.17,4.046,8.507,-1.0,1,3.922,0.0,0.0,0.722,0.0,4.575,3.366,0.112,1.038,2.5944,T
719,NS_207,3,2.77,3.425,11.271,1.235,0,6.189,4.263,3.219,0.0,0.94,5.225,3.649,0.261,2.235,2.5955,T
720,NS_224,6,3.545,4.136,14.031,2.569,0,14.283,5.407,5.727,0.857,0.978,5.617,3.847,0.056,8.73,2.6138,T
721,NS_227,6,3.582,4.358,14.195,2.508,0,15.543,5.451,5.79,0.994,1.0,5.638,3.857,-0.108,8.54,2.618,T
722,NS_232,5,3.512,4.162,13.919,2.424,0,13.432,5.342,5.659,0.884,0.977,5.557,3.818,-0.036,8.256,2.6222,T
724,NS_242,2,2.906,4.524,13.244,0.65,0,8.351,0.0,0.0,0.918,0.319,4.807,3.584,0.106,3.792,2.6284,T
725,NS_243,6,3.07,3.68,12.614,2.388,0,13.8,5.407,5.927,1.054,0.977,5.561,3.818,-0.084,7.352,2.6335,T
726,NS_244,3,3.026,3.647,12.175,1.618,0,6.341,5.056,5.416,0.0,1.0,5.513,3.761,0.009,2.362,2.6355,T
728,NS_251,4,3.904,4.881,15.546,2.595,0,18.712,5.476,6.066,1.494,0.897,5.684,3.903,-0.171,11.632,2.6599,T
729,NS_252,6,3.517,4.188,13.996,2.427,0,14.779,5.416,5.753,1.023,0.978,5.62,3.856,-0.039,8.285,2.6618,T
730,NS_254,8,3.633,4.035,14.295,2.542,0,15.492,5.501,5.802,0.559,0.981,5.738,3.907,-0.219,9.803,2.6749,T
731,NS_256,3,2.708,3.65,11.715,1.414,0,7.419,4.174,3.714,0.845,0.947,5.146,3.635,0.099,3.638,2.6767,T
732,NS_257,7,3.511,4.138,13.954,2.536,0,16.994,5.69,6.084,0.605,0.984,5.525,3.803,-0.033,11.119,2.6794,T
733,NS_260,18,3.305,4.783,14.149,3.026,1,30.012,6.631,7.216,0.941,0.952,5.696,3.96,-0.131,19.907,2.6857,T
735,NS_266,8,3.591,4.134,14.295,2.542,0,17.483,5.501,5.802,1.186,0.981,5.74,3.914,-0.161,7.75,2.7016,T
736,NS_269,15,3.301,4.119,14.079,2.983,1,21.843,6.378,7.086,0.913,1.0,5.741,3.959,-0.096,14.228,2.7101,T
737,NS_272,8,3.587,4.125,14.295,2.542,0,18.251,5.501,5.802,1.186,0.981,5.739,3.909,0.009,7.306,2.7185,T
738,NS_274,14,3.174,3.866,13.689,2.802,1,25.259,6.641,7.502,0.513,1.0,5.765,3.919,0.026,14.489,2.7316,T
739,NS_276,8,3.089,3.728,13.629,2.679,1,18.457,6.358,7.171,0.672,0.977,5.722,4.022,-0.028,10.826,2.7348,T
740,NS_279,9,3.288,4.107,13.553,2.665,1,15.572,5.905,6.529,0.871,1.0,5.642,4.118,-0.059,10.113,2.7404,T
743,NS_285,14,3.175,3.866,13.735,2.89,1,24.375,6.662,7.552,0.415,0.992,5.77,3.921,0.17,12.688,2.7642,T
744,NS_287,14,3.971,4.877,15.724,3.162,1,28.395,6.45,7.27,1.289,0.929,5.831,3.997,-0.178,19.395,2.7664,T
745,NS_289,14,3.158,3.81,13.623,2.8,1,25.259,6.69,7.467,0.513,0.981,5.74,3.906,-0.258,14.047,2.7774,T
746,NS_290,5,2.878,3.794,11.906,2.358,1,10.993,5.182,5.38,0.986,1.0,5.387,3.75,-0.18,7.593,2.7782,T
747,NS_293,18,3.34,3.746,14.141,2.82,1,31.94,7.152,8.1,0.431,0.98,6.1,4.083,-0.215,18.103,2.791,T
748,NS_295,18,3.356,3.883,14.268,2.897,1,31.056,7.152,8.198,0.346,0.964,6.121,4.094,0.113,16.521,2.7952,T
749,NS_296,8,3.016,3.808,12.896,2.639,1,14.4,6.125,6.899,0.825,0.969,5.705,3.92,0.038,8.551,2.7966,T
750,XLY06_03,3,3.604,3.732,14.183,2.576,0,13.713,4.673,5.056,0.523,0.748,5.388,3.847,0.496,-999.0,2.616,T
751,XLY06_06,4,2.727,3.768,11.737,2.115,0,11.012,4.644,4.443,0.7,0.966,5.379,3.886,0.271,5.238,2.4914,T
754,XLY06_38,3,3.018,3.799,12.27,1.524,1,8.705,4.673,4.394,0.773,0.958,5.439,3.918,0.107,4.847,2.6656,T
755,XLY06_39,3,2.947,3.799,12.043,2.057,0,11.206,4.691,4.554,0.868,0.969,5.414,3.902,0.181,8.545,2.534,T
757,XLY06_46,3,2.947,3.799,12.003,1.498,0,8.705,4.644,4.419,0.619,1.0,5.413,3.901,0.112,5.484,2.5922,T
758,XLY06_51,3,2.635,3.655,11.131,2.147,0,12.55,4.543,4.489,0.31,1.0,5.224,3.805,0.445,6.289,2.3979,T
759,XLY06_54,2,2.65,3.62,10.777,1.959,0,16.936,4.564,4.454,0.0,0.821,5.22,3.801,0.93,7.069,2.444,T
760,XLY06_60,2,2.63,3.638,10.777,1.786,0,10.161,4.466,4.344,0.567,1.0,5.221,3.803,0.188,6.325,2.4669,T
761,XLY06_62,3,2.777,3.575,11.49,1.458,1,7.779,4.511,4.615,0.817,1.0,5.28,3.835,0.093,2.716,2.6096,T
763,XLY06_64,2,2.65,3.62,10.777,1.946,0,15.382,4.543,4.431,0.0,0.882,5.22,3.801,0.834,6.467,2.3747,T
765,XLY06_72,4,2.948,3.805,12.047,1.982,0,10.341,4.7,4.554,0.567,0.966,5.415,3.902,0.22,6.606,2.6021,T
766,XLY06_76,4,2.951,3.81,12.077,1.811,0,9.568,4.673,4.533,0.592,0.962,5.419,3.904,0.133,6.115,2.6222,T
767,XLY06_80,3,2.946,3.794,11.99,1.495,0,7.933,4.615,4.29,0.65,1.0,5.413,3.898,0.026,4.84,2.6053,T
768,XLY06_90,2,2.65,3.62,10.777,1.971,0,19.268,4.595,4.489,0.0,0.741,5.22,3.801,1.177,8.621,2.4843,T
769,XLY06_91,2,2.65,3.62,10.777,1.868,0,11.503,4.489,4.369,0.0,1.0,5.22,3.801,0.553,4.613,2.3424,T
770,XLY06_92,2,2.65,3.62,10.777,1.968,0,18.49,4.585,4.477,0.0,0.767,5.22,3.801,0.97,7.764,2.4843,T
772,XLY06_96,2,2.65,3.62,10.777,1.834,0,10.728,4.477,4.357,0.0,1.0,5.22,3.801,0.466,4.596,2.3579,T
773,XLY06_98,3,2.947,3.799,12.005,1.715,0,11.025,4.691,4.554,0.544,1.0,5.413,3.901,0.197,6.856,2.5623,T
774,XLY06_99,2,2.814,3.603,11.439,1.618,0,10.135,4.466,4.234,0.353,1.0,5.278,3.831,0.33,4.887,2.5051,T
775,XLY06_100,3,2.835,3.628,11.671,1.667,0,9.476,4.97,4.949,0.337,1.0,5.302,3.848,0.05,5.304,2.5263,T
776,XLY06_102,3,2.947,3.799,12.005,1.514,0,9.477,4.673,4.489,0.592,1.0,5.413,3.901,0.204,6.083,2.5809,T
777,XLY06_104,4,3.004,3.629,12.114,1.879,0,7.047,4.466,3.611,0.0,1.0,5.49,3.919,0.139,2.382,2.6385,T
778,XLY09_04,7,2.865,3.817,13.05,2.303,0,15.654,5.058,4.924,1.333,0.885,5.748,4.046,-0.076,4.196,2.6561,T
781,HA_01,9,3.511,5.486,14.646,2.972,1,25.053,6.227,6.808,1.185,0.96,5.926,4.166,-0.009,16.054,2.614,T
782,HA_02,7,3.037,5.48,13.983,2.628,0,17.477,5.974,6.5,0.788,0.986,5.84,4.094,0.048,9.924,2.6182,T
783,HA_03,7,3.038,5.481,13.931,2.573,0,18.962,5.908,6.275,0.754,0.987,5.849,4.097,0.075,10.628,2.6224,T
784,HA_04,8,3.511,5.483,14.612,2.968,1,22.479,6.122,6.671,1.018,0.967,5.897,4.146,-0.133,14.283,2.6265,T
785,HA_05,3,3.04,5.483,13.838,2.072,0,9.926,5.252,5.501,1.014,0.969,5.841,4.085,0.013,5.308,2.6416,T
786,HA_06,6,3.138,5.48,13.957,2.627,0,16.627,5.932,6.553,0.708,0.985,5.854,4.092,0.044,7.577,2.6446,T
787,HA_07,8,3.511,5.458,14.85,3.223,0,23.72,6.111,6.616,0.859,0.953,5.914,4.13,-0.008,-999.0,2.6475,T
788,HA_08,8,3.038,5.481,13.982,2.588,0,19.049,5.986,6.438,0.754,0.987,5.849,4.098,-0.027,10.29,2.6524,T
789,HA_09,9,3.521,5.48,14.605,2.85,0,21.59,6.071,6.561,0.709,0.977,5.842,4.098,0.156,12.353,2.6543,T
791,HA_11,7,3.036,5.48,13.936,2.632,0,18.392,5.927,6.368,0.852,0.932,5.839,4.093,-0.015,11.239,2.6562,T
792,HA_12,7,3.511,5.48,14.544,2.68,0,19.919,5.989,6.466,0.738,0.975,5.84,4.094,-0.065,11.384,2.662,T
794,HA_14,8,3.517,5.48,14.607,2.914,1,22.479,6.098,6.632,1.018,0.967,5.841,4.1,-0.012,13.559,2.6657,T
795,HA_15,9,3.523,5.48,14.67,2.985,1,25.053,6.211,6.799,1.185,0.96,5.848,4.123,-0.216,16.65,2.6704,T
796,HA_16,6,3.086,5.48,13.983,2.505,0,15.591,5.759,6.378,0.866,0.983,5.854,4.102,-0.02,6.716,2.6704,T
799,HA_19,8,3.666,5.48,14.805,2.684,0,22.405,6.232,6.81,0.669,0.99,5.841,4.098,-0.082,12.761,2.675,T
800,HA_20,7,3.611,5.48,14.704,2.682,0,20.841,6.08,6.621,0.695,0.967,5.84,4.095,0.147,12.407,2.6796,T
801,HA_21,8,3.038,5.48,14.024,2.668,0,19.074,5.989,6.466,0.835,0.987,5.84,4.095,-0.015,11.02,2.6796,T
802,HA_22,5,3.036,5.48,13.884,2.437,0,14.158,5.638,6.043,0.912,0.981,5.838,4.092,-0.033,8.155,2.6841,T
803,HA_23,9,3.511,5.458,14.644,2.82,0,22.391,6.111,6.616,0.84,0.978,5.904,4.138,0.103,14.232,2.6841,T
804,HA_24,7,3.037,5.48,13.993,2.601,0,16.001,5.958,6.518,0.825,0.984,5.84,4.096,-0.186,9.059,2.6886,T
805,HA_25,5,3.044,5.481,13.923,2.444,0,13.24,5.694,6.29,0.832,0.98,5.862,4.105,-0.035,6.478,2.6894,T
806,HA_26,7,3.036,5.48,13.972,2.64,0,17.477,5.969,6.491,0.788,0.986,5.839,4.094,-0.045,9.613,2.693,T
807,HA_27,11,3.511,5.434,14.731,2.908,0,24.877,6.205,6.703,0.909,0.98,5.947,4.159,-0.031,16.495,2.693,T
808,HA_28,3,3.075,5.457,13.929,1.97,0,9.926,5.215,5.442,1.014,0.969,5.861,4.086,0.024,5.772,2.6939,T
809,HA_29,7,3.038,5.48,14.043,2.555,0,16.001,5.958,6.512,0.825,0.984,5.842,4.097,-0.201,9.511,2.6939,T
810,HA_30,7,3.187,5.355,13.854,2.697,1,17.874,5.892,6.319,1.018,0.985,5.75,4.054,-0.111,7.847,2.6947,T
812,HA_32,7,3.035,5.48,13.936,2.632,0,19.161,5.927,6.368,0.922,0.986,5.839,4.091,-0.114,7.924,2.6974,T
814,HA_34,7,3.037,5.48,13.993,2.604,0,16.001,5.958,6.535,0.825,0.984,5.84,4.096,-0.222,9.023,2.6991,T
815,HA_35,11,3.038,5.48,14.159,2.974,0,21.553,6.05,6.512,0.709,0.988,5.843,4.099,0.206,12.306,2.7,T
817,HA_37,9,3.798,5.48,15.057,2.686,0,24.907,6.466,7.144,0.613,0.938,5.859,4.119,-0.325,14.162,2.7017,T
818,HA_38,4,3.073,5.483,13.954,2.177,1,12.507,5.468,5.883,1.373,0.95,5.892,4.135,-0.067,7.167,2.7051,T
819,HA_39,10,3.244,5.48,14.29,2.735,0,21.628,6.333,7.011,0.682,0.979,5.879,4.128,-0.067,13.258,2.706,T
820,HA_40,5,3.211,5.457,14.104,2.194,0,11.76,5.802,6.395,0.884,0.977,5.961,4.152,-0.122,6.42,2.7085,T
821,HA_41,5,3.207,5.457,14.101,2.241,0,11.76,5.72,6.29,0.884,0.977,5.928,4.137,-0.159,6.393,2.7085,T
822,HA_42,3,3.035,5.48,13.83,2.11,0,10.327,5.231,5.46,1.061,0.969,5.836,4.085,0.008,3.438,2.7102,T
823,HA_43,11,3.293,5.48,14.378,2.825,0,24.135,6.55,7.343,0.623,0.951,5.911,4.16,0.083,14.762,2.7102,T
824,HA_44,7,3.039,5.481,14.544,2.68,0,20.305,6.047,6.555,1.014,0.875,5.869,4.117,-0.061,10.637,2.7145,T
825,HA_45,3,3.036,5.48,13.83,2.11,0,9.926,5.231,5.46,1.014,0.969,5.836,4.086,0.04,5.21,2.7186,T
826,HA_46,7,3.236,5.465,14.7,2.825,0,17.897,6.18,6.876,1.006,0.972,6.035,4.193,-0.157,8.789,2.7186,T
829,HA_49,5,3.051,5.48,13.922,2.353,0,13.24,5.694,6.301,0.832,0.98,5.853,4.1,0.137,6.517,2.7309,T
830,HA_50,11,3.132,5.491,14.679,2.996,0,23.658,6.223,6.753,0.944,0.979,5.948,4.156,0.198,12.967,2.7309,T
833,HA_53,7,3.059,5.481,14.564,2.838,0,19.384,6.084,6.788,0.966,0.87,5.898,4.132,-0.126,8.796,2.7397,T
834,HA_54,11,3.879,5.48,15.238,2.811,0,23.864,6.621,7.407,0.613,0.938,5.851,4.175,-0.192,13.581,2.7428,T
836,HA_56,1,2.461,4.481,11.023,1.0,0,5.857,4.234,3.892,1.224,0.93,5.396,3.837,0.028,1.671,2.7946,T
837,HA_57,5,3.204,4.506,12.985,2.178,0,8.99,5.748,6.644,1.014,0.969,5.716,4.138,-0.176,4.158,2.8015,T
840,HA_C,9,3.511,5.5,15.063,3.406,0,31.887,6.277,6.9,1.384,0.965,5.981,4.175,-0.086,15.927,2.6676,T
842,HA_E,7,3.967,5.48,15.714,2.791,0,25.759,6.103,6.698,1.251,0.902,5.842,4.115,-0.068,16.229,2.6796,T
844,HA_G,19,3.427,5.48,14.77,3.289,0,37.476,7.137,8.09,0.447,0.894,6.01,4.236,-0.072,23.05,2.7309,T
845,HA_H,16,3.311,5.48,14.56,3.176,0,32.097,6.855,7.7,0.642,0.955,5.936,4.182,-0.158,18.049,2.7428,T
846,HA_I,17,3.362,5.48,14.643,3.239,0,32.439,6.884,7.743,0.505,0.956,5.967,4.195,-0.14,19.183,2.7468,T
847,YL_01,14,3.141,3.802,13.623,2.8,1,25.259,6.713,7.525,0.513,0.958,5.764,3.917,-0.095,14.114,2.7193,T
848,YL_02,14,3.164,3.863,13.699,2.89,1,24.375,6.641,7.449,0.415,0.981,5.703,3.889,0.06,13.695,2.7642,T
849,YL_03,14,3.164,3.863,13.651,2.801,1,25.259,6.62,7.393,0.513,0.992,5.699,3.886,-0.147,15.652,2.7316,T
851,YL_05,14,3.159,3.81,13.623,2.8,1,25.259,6.631,7.385,0.513,0.981,5.685,3.879,0.135,14.743,2.7404,T
852,YL_06,16,3.339,3.746,14.099,2.793,1,27.715,6.984,7.922,0.377,0.977,5.933,4.0,-0.168,14.497,2.7372,T
853,YL_07,16,3.342,3.858,14.041,2.823,1,27.715,7.079,8.077,0.377,0.946,6.117,4.091,-0.11,14.821,2.7672,T
854,YL_08,18,3.343,3.862,14.117,2.879,1,31.056,7.161,8.175,0.346,0.976,6.121,4.094,0.237,16.547,2.7767,T
855,YL_10,18,3.341,3.867,14.15,2.903,1,30.174,7.203,8.264,0.222,0.964,6.136,4.101,0.208,13.8,2.8215,T
856,YL_11,23,3.882,4.587,15.732,3.189,1,38.028,7.373,8.342,0.288,0.932,5.977,4.239,-0.253,19.817,2.8182,T
857,YL_12,23,3.879,4.579,15.732,3.189,1,38.028,7.361,8.317,0.288,0.919,5.997,4.235,-0.646,20.008,2.8312,T
860,YL_15,18,3.882,4.587,15.181,3.13,1,29.997,7.108,8.088,0.219,0.95,5.931,4.023,-0.264,14.266,2.8149,T
861,YL_16,18,3.882,4.587,15.171,3.13,1,30.87,7.048,7.978,0.341,0.976,5.917,4.015,0.108,16.666,2.7694,T
862,YL_17,19,3.872,4.579,15.145,3.131,1,32.396,7.088,8.019,0.42,0.944,5.979,4.219,-0.419,18.448,2.7731,T
863,YL_18,12,3.226,3.882,13.642,2.88,1,20.154,6.623,7.589,0.297,0.976,5.871,3.971,-0.115,8.952,2.8228,T
864,YL_19,12,3.246,3.882,13.591,2.786,1,21.034,6.601,7.541,0.462,0.99,5.869,3.97,-0.012,10.914,2.8142,T
866,YL_21,16,3.209,3.871,13.849,2.943,1,26.834,6.879,7.805,0.242,0.962,5.835,3.952,-0.186,11.524,2.791,T
867,YL_22,18,3.209,3.871,13.94,2.966,1,30.174,6.987,7.911,0.222,0.912,5.837,3.953,-0.226,13.066,2.7945,T
869,YL_24,14,3.208,3.871,13.703,2.821,1,24.375,6.741,7.643,0.415,0.992,5.83,3.948,0.133,12.234,2.7619,T
870,YL_25,8,2.976,3.807,12.896,2.639,1,14.4,6.129,6.929,0.825,0.969,5.712,3.923,-0.007,8.549,2.7966,T
871,YL_26,14,3.083,3.837,13.692,2.916,1,22.168,6.906,7.919,0.592,0.935,6.021,4.072,0.138,12.137,2.8096,T
872,YL_27,12,3.175,5.486,14.323,2.985,1,22.877,6.831,7.821,0.721,0.924,6.098,4.293,-0.025,10.166,2.791,T
874,YL_29,9,3.145,3.913,13.122,2.771,1,15.055,6.18,6.973,0.806,0.985,5.702,4.092,0.084,8.307,2.7716,T
875,YL_30,8,2.879,3.795,12.879,2.708,1,14.4,6.111,6.836,0.825,0.984,5.634,3.875,0.024,8.574,2.7627,T
876,YL_31,14,3.14,3.793,13.605,2.865,1,24.422,6.773,7.69,0.583,0.992,5.846,3.983,0.057,13.765,2.7582,T
877,YL_32,10,3.004,3.826,13.111,2.764,1,17.741,6.344,7.157,0.723,1.0,5.708,3.907,-0.062,10.052,2.7619,T
878,YL_33,14,3.13,3.787,13.548,2.811,1,25.307,6.745,7.608,0.678,0.992,5.818,3.972,0.05,15.772,2.7251,T
879,YL_34,12,3.02,3.826,13.22,2.782,1,21.966,6.497,7.276,0.748,0.972,5.71,3.909,0.067,13.193,2.7059,T
880,YL_35,18,3.343,3.859,14.086,2.832,1,31.94,7.062,8.009,0.431,0.976,5.953,4.012,-0.001,19.063,2.7226,T
881,YL_36,16,3.349,3.867,14.077,2.883,1,26.834,7.118,8.185,0.242,0.945,6.132,4.099,0.023,12.356,2.8082,T
883,YL_38,14,3.121,3.821,13.596,2.869,1,23.575,6.827,7.824,0.723,0.974,6.02,4.279,-0.03,14.11,2.7619,T
885,YL_40,14,3.09,3.82,13.577,2.866,1,21.846,6.814,7.8,0.748,0.981,6.02,4.272,-0.106,14.669,2.8116,T
887,YL_42,17,3.157,3.909,13.743,2.912,1,30.196,6.983,7.894,0.684,0.974,6.021,4.272,0.065,18.447,2.73,T
890,YL_45,14,3.08,3.787,13.601,2.867,1,24.422,6.871,7.797,0.583,0.981,6.003,4.062,0.072,13.989,2.7559,T
891,YL_46,12,3.148,3.86,13.582,2.745,1,21.034,6.564,7.382,0.462,0.948,5.761,3.917,0.165,10.929,2.7582,T
892,YL_47,14,3.142,3.802,13.673,2.888,1,24.375,6.732,7.574,0.415,0.968,5.769,3.92,-0.058,12.124,2.7782,T
893,YL_48,18,3.348,3.864,14.12,2.887,1,31.056,7.082,8.076,0.346,0.976,5.972,4.021,0.333,16.001,2.7619,T
895,YL_50,24,3.868,4.579,15.717,3.189,1,39.547,7.405,8.378,0.357,0.943,6.016,4.245,-0.551,21.815,2.8215,T
896,YL_51,19,3.868,4.567,15.142,3.144,1,32.396,7.114,8.01,0.42,0.994,5.947,4.2,-0.342,17.65,2.7875,T
897,YL_52,12,3.216,3.882,13.642,2.882,1,20.154,6.623,7.583,0.297,0.976,5.87,3.971,0.037,8.915,2.8169,T
898,YL_53,4,3.09,3.659,12.584,1.814,1,8.189,5.587,6.217,0.337,1.0,5.632,3.843,-0.076,3.489,2.8376,T
900,YL_55,10,3.096,3.785,13.397,2.752,1,16.862,6.658,7.701,0.544,0.883,6.044,4.088,-0.003,8.952,2.8048,T
901,YL_56,8,3.019,3.824,12.988,2.717,1,13.523,6.163,7.006,0.619,1.0,5.701,3.903,-0.047,6.907,2.8122,T
904,YL_62,16,3.093,4.148,13.665,2.872,1,27.349,6.947,7.942,0.676,0.978,6.025,4.276,-0.165,14.477,2.7875,T
905,SFT_I1,4,3.51,4.132,14.182,2.489,0,16.731,5.549,5.866,0.744,0.984,5.507,3.948,0.012,10.141,2.5577,T
907,SFT_I3,4,3.51,4.132,14.253,2.489,0,19.93,5.598,5.943,0.77,0.986,5.513,3.961,0.17,13.43,2.5601,T
909,SFT_I5,5,3.51,4.132,14.45,2.491,0,19.198,5.666,6.033,0.659,0.961,5.52,3.964,0.327,13.09,2.5637,T
912,SFT_I9,13,3.623,4.09,14.889,3.138,0,29.856,6.273,6.735,1.256,0.951,5.924,4.162,-0.145,11.898,2.5541,T
913,SFT_I10,13,3.623,4.09,14.787,3.12,0,30.795,6.242,6.653,1.312,0.887,5.918,4.158,-0.217,13.675,2.5226,T
914,SFT_II11,4,3.209,3.667,13.2,2.44,0,14.27,5.517,5.894,0.808,1.0,5.463,3.936,-0.045,8.553,2.6055,T
915,SFT_II12,5,3.443,3.796,13.799,2.455,0,16.763,5.638,6.057,0.708,0.97,5.481,3.953,0.453,11.684,2.6022,T
921,SFT_III18,3,3.291,3.672,13.308,2.473,0,14.357,5.118,5.187,0.912,0.827,5.323,3.89,0.337,10.962,2.5811,T
923,SFT_IV20,5,3.443,5.48,14.45,2.491,0,19.583,5.746,6.168,1.03,0.961,5.841,4.095,0.387,13.002,2.6076,T
925,SFT_IV22,5,3.292,5.48,14.287,2.493,0,20.504,5.733,6.146,1.077,0.963,5.84,4.095,0.171,13.532,2.5946,T
